Kode Sub Kanca;Sub Kanca;SEGMENT;Kode Kanca;Kanca;Kanwil;Kode Kanwil
4054;UNIT JATINAGARA CIAMIS;MIKRO;104;KC Ciamis ;Bandung ;F
3733;UNIT JATILUHUR PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
3733;UNIT JATILUHUR PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
3733;UNIT JATILUHUR PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
4422;UNIT JATIGEDE SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4220;UNIT JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4220;UNIT JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4220;UNIT JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4220;UNIT JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
7851;UNIT JAPARA KUNINGAN;MIKRO;133;KC Kuningan ;Bandung ;F
7851;UNIT JAPARA KUNINGAN;MIKRO;133;KC Kuningan ;Bandung ;F
4192;UNIT JANGGA INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4192;UNIT JANGGA INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4192;UNIT JANGGA INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4404;UNIT JAMPANG TENGAH SUKABUMI;MIKRO;92;KC Sukabumi ;Bandung ;F
4404;UNIT JAMPANG TENGAH SUKABUMI;MIKRO;92;KC Sukabumi ;Bandung ;F
4404;UNIT JAMPANG TENGAH SUKABUMI;MIKRO;92;KC Sukabumi ;Bandung ;F
4403;UNIT JAMPANG KULON SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
4403;UNIT JAMPANG KULON SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
4403;UNIT JAMPANG KULON SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
778;UNIT JAMIKA BANDUNG N ;MIKRO;337;KC Bandung Naripan;Bandung ;F
778;UNIT JAMIKA BANDUNG N ;MIKRO;337;KC Bandung Naripan;Bandung ;F
778;UNIT JAMIKA BANDUNG N ;MIKRO;337;KC Bandung Naripan;Bandung ;F
4276;UNIT JALAKSANA KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
4276;UNIT JALAKSANA KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
4276;UNIT JALAKSANA KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
4153;UNIT JAGASATRU CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4153;UNIT JAGASATRU CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4153;UNIT JAGASATRU CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4153;UNIT JAGASATRU CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
